
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
112,2009,13,2009-12-13,30-012,DET,@,BAL,L 3-48,3,11,3.67,0,2,2,9,4.50,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
113,2009,14,2009-12-20,30-019,DET,,ARI,L 24-31,17,126,7.41,1,6,5,35,7.00,0,0,0,,0,0,0,,0,,1,6,0.0,0,0
114,2009,15,2009-12-27,30-026,DET,@,SFO,L 6-20,18,37,2.06,0,7,4,29,7.25,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
115,2009,16,2010-01-03,30-033,DET,,CHI,L 23-37,16,65,4.06,0,6,5,41,8.20,0,0,0,,0,0,0,,0,,0,0,0.0,0,1
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
116,2010,1,2010-09-12,30-285,DET,@,CHI,L 14-19,2,-3,-1.50,0,2,2,18,9.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
117,2010,2,2010-09-19,30-292,DET,,PHI,L 32-35,3,8,2.67,0,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
118,2010,3,2010-09-26,30-299,DET,@,MIN,L 10-24,6,5,0.83,0,7,5,36,7.20,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
119,2010,4,2010-10-03,30-306,DET,@,GNB,L 26-28,,,,,,,,,,,,,,,,,,,,,,,
